product,quality,bytes,ship_px,psnr
crop tight q80,80,649,8.000256,39.3801909747621
crop tight q95,95,675,8.000256,45.02505022537208
crop context q20,20,631,8.000256,34.45700528531341
crop context q40,40,638,8.000256,36.377940933748
crop context q60,60,642,8.000256,38.17089138053846
crop context q80,80,651,8.000256,40.69691205238604
crop context q95,95,689,8.000256,45.99664769043112
crop wake q20,20,645,8.000256,36.8564130318487
crop wake q40,40,653,8.000256,38.658645499504594
crop wake q60,60,657,8.000256,40.33953615565637
crop wake q80,80,672,8.000256,43.637121684133334
crop wake q95,95,732,8.000256,49.39400011766293
thumbnail 96px,60,1892,,
whole tile q40,40,88388,,33.152360901972905
whole tile q60,60,108061,,35.16766290675507
crop tight q20,20,758,25.999872000000003,29.006322811338624
crop tight q40,40,805,25.999872000000003,31.698319585857092
crop tight q60,60,847,25.999872000000003,33.38428774763263
crop tight q80,80,935,25.999872000000003,35.766434894390386
crop tight q95,95,1244,25.999872000000003,42.04906933738361
crop context q20,20,890,25.999872000000003,28.5161791459204
crop context q40,40,1000,25.999872000000003,31.22486415134757
crop context q60,60,1100,25.999872000000003,32.65240903441158
crop context q80,80,1278,25.999872000000003,35.538189903115416
crop context q95,95,1852,25.999872000000003,41.74341870359166
crop context jp2,-1,1300,25.999872000000003,30.7767530200817
crop wake q20,20,1257,25.999872000000003,28.780551283126133
crop wake q40,40,1503,25.999872000000003,31.455902139393114
crop wake q60,60,1698,25.999872000000003,33.06702897765948
crop wake q80,80,2125,25.999872000000003,35.65425663132346
crop wake q95,95,3479,25.999872000000003,41.647954384836254
crop wake jp2,-1,3117,25.999872000000003,33.07214656122809
thumbnail 96px,60,3248,,
whole tile q40,40,102001,,31.880216635697664
whole tile q60,60,125399,,33.98435355133577
crop tight q20,20,883,40.99968,29.73020014862962
crop tight q40,40,985,40.99968,32.5981135866765
crop tight q60,60,1081,40.99968,34.339175919686554
crop tight q80,80,1266,40.99968,36.77063894145744
crop tight q95,95,1871,40.99968,42.136831739763316
crop tight jp2,-1,1739,40.99968,35.37903004528495
crop context q20,20,1185,40.99968,29.257660679864603
crop context q40,40,1423,40.99968,32.0386303738845
crop context q60,60,1626,40.99968,33.74738540432401
crop context q80,80,2033,40.99968,36.72643899966968
crop context q95,95,3315,40.99968,42.09900176454833
crop context jp2,-1,3275,40.99968,37.66647415879728
crop wake q20,20,1887,40.99968,29.37934150107388
crop wake q40,40,2396,40.99968,32.239627860216345
crop wake q60,60,2835,40.99968,34.046937698285696
crop wake q80,80,3714,40.99968,36.75349782289898
crop wake q95,95,6637,40.99968,41.999477871995424
crop wake jp2,-1,7621,40.99968,38.230223841578564
thumbnail 96px,60,1313,,
whole tile q40,40,26066,,39.12325783716871
whole tile q60,60,34288,,41.08022353719974
crop tight q20,20,960,82.000128,33.14823324479006
crop tight q40,40,1221,82.000128,36.732036094623254
crop tight q60,60,1414,82.000128,38.84726928505023
crop tight q80,80,1846,82.000128,41.47403787233885
crop tight q95,95,3228,82.000128,45.3577109459966
crop tight jp2,-1,6661,82.000128,48.033658919707165
crop context q20,20,1210,82.000128,34.33283354079107
crop context q40,40,1626,82.000128,37.63779518392446
crop context q60,60,2024,82.000128,39.50702126895223
crop context q80,80,2813,82.000128,42.56744364949312
crop context q95,95,5305,82.000128,46.54697179186254
crop context jp2,-1,12407,82.000128,48.910978124095976
crop wake q20,20,1710,82.000128,35.248590732059505
crop wake q40,40,2643,82.000128,38.43145453779196
crop wake q60,60,3524,82.000128,40.016201939430836
crop wake q80,80,5268,82.000128,43.28205748070442
crop wake q95,95,10679,82.000128,47.33678130768487
crop wake jp2,-1,31158,82.000128,49.998742887839065
thumbnail 96px,60,1104,,
whole tile q40,40,40008,,34.80515239515451
whole tile q60,60,52275,,36.435729540343274
crop tight q20,20,1107,72.0,28.684376958422
crop tight q40,40,1412,72.0,31.277901288385557
crop tight q60,60,1691,72.0,33.1492175059611
crop tight q80,80,2232,72.0,36.11505630655212
crop tight q95,95,3928,72.0,42.83263686058284
crop tight jp2,-1,5091,72.0,40.29783964769027
crop context q20,20,1360,72.0,30.13644574642369
crop context q40,40,1874,72.0,32.64651033751208
crop context q60,60,2362,72.0,34.55653662849964
crop context q80,80,3261,72.0,37.532553264216105
crop context q95,95,6144,72.0,44.542307105736406
crop context jp2,-1,9994,72.0,42.384331265836074
crop wake q20,20,1807,72.0,31.16888600174469
crop wake q40,40,2770,72.0,33.86022502386149
