policy,scale,rise_h,capacity_MB,queue_items,queue_MB,greedy,optimum,bound,gap,buckets,bucket_bytes,resolution,valid,tiles,rep
FIFO,operational,23.749109346666668,38.801440841933804,48233,115.13339668413718,7713.45,10780.271002601476,23001.52114311627,0.28448459244312096,4000,9700.36021048345,0.00412355821145393,True,80000,0
FIFO,small,23.749109346666668,0.056566556833741344,100,0.16784685531462215,13.32,24.971467961386274,25.334048272635933,0.46659123041557266,2828,20.0,2.0,True,80000,0
FIFO,operational,35.282123580833336,47.590179273542404,33314,78.44361483288216,9535.21,9535.21,15917.640000004598,0.0,4000,11897.5448183856,0.003362038186079107,True,80000,0
FIFO,small,35.282123580833336,0.047428462621516544,50,0.0781770548207699,15.23,26.01,26.29786404509316,0.4144559784698193,2371,20.0,2.0,True,80000,0
Value-greedy (ours),operational,0.09089067972222223,24.870337162528504,327,0.860294224451902,167.96,167.96,167.95999999999822,0.0,4000,6217.584290632126,0.006433366743458061,True,80000,1
Value-greedy (ours),small,0.09089067972222223,0.6336786164785844,25,0.021919688919077522,13.16,13.16,13.159999999999997,0.0,31683,20.0,2.0,True,80000,1
Value-greedy (ours),operational,11.60635736611111,60.079759210938946,44180,102.97444124051424,21018.99,21018.99,21380.49999995526,0.0,4000,15019.939802734736,0.002663126518837116,True,80000,1
Value-greedy (ours),small,11.60635736611111,0.04388355106683255,50,0.07521475135895492,8.1,8.1,8.32436695533611,0.0,2194,20.0,2.0,True,80000,1
Value-greedy (ours),operational,13.210484531111112,8.577590168261082,32690,57.80183888975488,3029.74,3029.74,3217.285060766929,0.0,4000,2144.3975420652705,0.018653257717072356,True,80000,1
Value-greedy (ours),small,13.210484531111112,0.061344727851127406,200,0.4133839465899274,28.865415806198822,29.88852440494018,31.259444687384065,0.03423081664654722,3067,20.0,2.0,True,80000,1
Value-greedy (ours),operational,22.197338734166667,29.981995484358475,63698,127.8716317312515,15846.969762569739,15846.969762569739,16673.810397205267,0.0,3999,7495.498871089619,0.005336536058231066,True,80000,1
Value-greedy (ours),small,22.197338734166667,0.05685856022358007,100,0.24249876488280664,32.19,32.7706816861659,33.317714729271394,0.01771954858085961,2842,20.0,2.0,True,80000,1
Value-greedy (ours),operational,23.749109346666668,38.801440841933804,59630,111.11741695286385,3510.82,3510.82,3865.15478253897,0.0,4000,9700.36021048345,0.00412355821145393,True,80000,1
Value-greedy (ours),small,23.749109346666668,0.12946318492086065,200,0.3707494976153064,5.6818378865939465,5.6818378865939465,6.123272043736783,0.0,652,198.4056545583692,2.0,True,80000,1
Value-greedy (ours),operational,35.282123580833336,47.590179273542404,39143,74.8626177663752,1024.74,1024.74,1024.7399999997,0.0,4000,11897.5448183856,0.003362038186079107,True,80000,1
Value-greedy (ours),small,35.282123580833336,0.10300885648362224,100,0.16204,0.9,0.9,0.9000000000000006,0.0,228,450.0,2.0,True,80000,1
FIFO,operational,0.09089067972222223,24.870337162528504,327,0.860294224451902,167.96,167.96,167.95999999999822,0.0,4000,6217.584290632126,0.006433366743458061,True,80000,1
FIFO,small,0.09089067972222223,0.6336786164785844,25,0.021919688919077522,13.16,13.16,13.159999999999997,0.0,31683,20.0,2.0,True,80000,1
FIFO,operational,11.60635736611111,60.079759210938946,44180,102.97444124051424,12375.48,12375.48,21380.49999995526,0.0,4000,15019.939802734736,0.002663126518837116,True,80000,1
FIFO,small,11.60635736611111,0.04388355106683255,50,0.07521475135895492,4.24,8.1,8.32436695533611,0.47654320987654314,2194,20.0,2.0,True,80000,1
FIFO,operational,13.210484531111112,8.577590168261082,24669,57.81376412797554,1817.73,6781.924691345943,11614.941566183972,0.7319743166243782,4000,2144.3975420652705,0.018653257717072356,True,80000,1
FIFO,small,13.210484531111112,0.022187235547395465,100,0.1495440534493385,11.17,34.617454451761425,35.04818645870379,0.6773304052276541,1109,20.0,2.0,True,80000,1
FIFO,operational,22.197338734166667,29.981995484358475,55067,127.88770747065251,6262.74,11714.197409827771,26574.031572425352,0.4653718235322041,3999,7495.498871089619,0.005336536058231066,True,80000,1
FIFO,small,22.197338734166667,0.05088999033584801,100,0.21707041483114684,3.15,30.757629876860562,32.0939176217932,0.8975863870977331,2544,20.0,2.0,True,80000,1
FIFO,operational,23.749109346666668,38.801440841933804,48086,111.14174917986058,8122.71,11111.977135542687,23379.38144574392,0.26901307472828034,4000,9700.36021048345,0.00412355821145393,True,80000,1
FIFO,small,23.749109346666668,0.06801410309000469,50,0.19481767228996907,9.12,29.616909780215956,31.211880141029752,0.6920678062742338,3400,20.0,2.0,True,80000,1
FIFO,operational,35.282123580833336,47.590179273542404,32264,74.9154729586043,10023.18,10023.18,15852.630000004445,0.0,4000,11897.5448183856,0.003362038186079107,True,80000,1
FIFO,small,35.282123580833336,0.03202605497170753,25,0.05041475135895492,3.09,7.149999999999998,7.149999999999997,0.5678321678321677,1601,20.0,2.0,True,80000,1
Value-greedy (ours),operational,0.09089067972222223,24.870337162528504,693,1.8064384922804657,361.52,361.52,361.5199999999959,0.0,4000,6217.584290632126,0.006433366743458061,True,160000,0
Value-greedy (ours),small,0.09089067972222223,0.4301462383730245,25,0.031243352964165493,10.14,10.14,10.139999999999997,0.0,21507,20.0,2.0,True,160000,0
Value-greedy (ours),operational,11.60635736611111,60.079759210938946,87380,207.79701780457157,38843.379160921926,38843.379160921926,41265.62085190397,0.0,4000,15019.939802734736,0.002663126518837116,True,160000,0
Value-greedy (ours),small,11.60635736611111,0.03881189461391969,50,0.13423815378157178,38.81779597555546,39.24240860711347,42.010356184279246,0.010820248976283177,1940,20.0,2.0,True,160000,0
Value-greedy (ours),operational,13.210484531111112,8.577590168261082,75176,174.0273959569914,5570.917916046345,5570.917916046345,6561.493759557952,0.0,4000,2144.3975420652705,0.018653257717072356,True,160000,0
Value-greedy (ours),small,13.210484531111112,0.05138303071725764,400,1.0424903564628165,22.01,24.629622598026494,27.25130622369173,0.10636064712726842,2569,20.0,2.0,True,160000,0
Value-greedy (ours),operational,22.197338734166667,29.981995484358475,140194,324.715978343169,29576.423154896413,29576.423154896413,32898.17790513846,0.0,3999,7495.498871089619,0.005336536058231066,True,160000,0
Value-greedy (ours),small,22.197338734166667,0.043060939356955784,200,0.4663657246884865,30.01,30.826047733607037,32.3529911600738,0.026472668201229305,2153,20.0,2.0,True,160000,0
Value-greedy (ours),operational,23.749109346666668,38.801440841933804,133094,323.2847710063306,6763.2659940787125,6763.2659940787125,10294.984355999046,0.0,4000,9700.36021048345,0.00412355821145393,True,160000,0
Value-greedy (ours),small,23.749109346666668,0.03321095805878741,200,0.27670614126608917,7.0,7.867119321502633,9.054066039339038,0.11022069020010897,1660,20.0,2.0,True,160000,0
Value-greedy (ours),operational,35.282123580833336,47.590179273542404,130735,288.5055252540251,3213.9608471966676,3428.6916932466956,5240.394008835215,0.06262763329609702,4000,11897.5448183856,0.003362038186079107,True,160000,0
Value-greedy (ours),small,35.282123580833336,0.14322967515728835,400,0.8683,9.646484231617489,11.302318306814673,15.407086334146287,0.14650393222413563,318,450.0,2.0,True,160000,0
FIFO,operational,0.09089067972222223,24.870337162528504,693,1.8064384922804657,361.52,361.52,361.5199999999959,0.0,4000,6217.584290632126,0.006433366743458061,True,160000,0
FIFO,small,0.09089067972222223,0.4301462383730245,25,0.031243352964165493,10.14,10.14,10.139999999999997,0.0,21507,20.0,2.0,True,160000,0
FIFO,operational,11.60635736611111,60.079759210938946,87380,207.79701780457157,11978.01,17063.14799928837,41265.62085190397,0.2980187477422365,4000,15019.939802734736,0.002663126518837116,True,160000,0
FIFO,small,11.60635736611111,0.03881189461391969,50,0.13423815378157178,20.07,39.24240860711347,42.010356184279246,0.48856350279269267,1940,20.0,2.0,True,160000,0
