image,quality,bytes,psnr_db,ships,found,n_pred
371371749.jpg,q30,23915,33.29037397344954,2,2,2
371371749.jpg,q20,19990,32.003635196956274,2,2,2
373f6dcfb.jpg,original,182896,inf,12,7,7
373f6dcfb.jpg,q60,69633,38.27850744212661,12,6,7
373f6dcfb.jpg,q40,55958,36.11779983590361,12,5,7
373f6dcfb.jpg,q30,48654,34.76193249352767,12,6,6
373f6dcfb.jpg,q20,37664,32.77326290195533,12,3,3
37e4582b5.jpg,original,114329,inf,0,0,0
37e4582b5.jpg,q60,35046,41.28056763108718,0,0,0
37e4582b5.jpg,q40,24841,39.52008997722861,0,0,0
37e4582b5.jpg,q30,20226,37.92871228237264,0,0,0
37e4582b5.jpg,q20,15863,36.565887127709495,0,0,0
3818abe8a.jpg,original,92334,inf,5,4,4
3818abe8a.jpg,q60,25097,41.824566078063825,5,4,4
3818abe8a.jpg,q40,20160,40.377001657120736,5,4,4
3818abe8a.jpg,q30,17882,38.76022227486015,5,4,4
3818abe8a.jpg,q20,15011,36.698336542483204,5,3,3
383d74eed.jpg,original,143010,inf,4,3,5
383d74eed.jpg,q60,47795,39.53701362717954,4,3,4
383d74eed.jpg,q40,37044,37.417064896662154,4,3,4
383d74eed.jpg,q30,29809,36.06823100736336,4,3,3
383d74eed.jpg,q20,20309,34.12269702537766,4,2,2
388dea368.jpg,original,201114,inf,1,1,1
388dea368.jpg,q60,77530,37.58965251127848,1,1,1
388dea368.jpg,q40,62780,35.405939614261996,1,1,1
388dea368.jpg,q30,55377,33.82772468868555,1,1,1
388dea368.jpg,q20,42278,31.91869440929252,1,1,1
3a4ce6532.jpg,original,206408,inf,2,0,0
3a4ce6532.jpg,q60,79969,37.33631895341943,2,0,0
3a4ce6532.jpg,q40,64993,35.14788054999316,2,0,0
3a4ce6532.jpg,q30,57094,33.87824687540818,2,0,0
3a4ce6532.jpg,q20,44013,31.65073553694466,2,0,0
3b3cc8ea7.jpg,original,211908,inf,0,0,0
3b3cc8ea7.jpg,q60,82913,37.50221229282945,0,0,0
3b3cc8ea7.jpg,q40,67755,35.28960532066829,0,0,0
3b3cc8ea7.jpg,q30,59501,34.08359693479669,0,0,0
3b3cc8ea7.jpg,q20,46554,31.847666566549798,0,0,0
3bd478c53.jpg,original,407094,inf,1,1,1
3bd478c53.jpg,q60,149134,26.378009651051396,1,1,1
3bd478c53.jpg,q40,117133,24.24667072764833,1,1,1
3bd478c53.jpg,q30,98556,23.460163236633424,1,1,1
3bd478c53.jpg,q20,68160,22.279062354211568,1,1,1
3c9e785ff.jpg,original,219082,inf,0,0,0
3c9e785ff.jpg,q60,85680,37.132856348711265,0,0,0
3c9e785ff.jpg,q40,70136,34.98415870212878,0,0,0
3c9e785ff.jpg,q30,61630,33.53749472020059,0,0,0
3c9e785ff.jpg,q20,48673,31.35761610052608,0,0,0
3e0dd9c9b.jpg,original,234754,inf,1,1,1
3e0dd9c9b.jpg,q60,90533,35.96320777897136,1,1,1
3e0dd9c9b.jpg,q40,72945,34.06266887755918,1,1,1
3e0dd9c9b.jpg,q30,63512,32.80507997756538,1,1,1
3e0dd9c9b.jpg,q20,50455,31.319506225975697,1,1,1
3e4e7490d.jpg,original,194673,inf,1,1,1
3e4e7490d.jpg,q60,73873,37.892092723288265,1,1,1
3e4e7490d.jpg,q40,60140,35.75351478593832,1,1,1
3e4e7490d.jpg,q30,52139,34.540955222654624,1,1,1
3e4e7490d.jpg,q20,39761,32.15646751060167,1,1,1
3fd3e6246.jpg,original,264665,inf,1,1,1
3fd3e6246.jpg,q60,102686,34.456184049003284,1,1,1
3fd3e6246.jpg,q40,82100,32.45790942958231,1,1,1
3fd3e6246.jpg,q30,71013,31.366621003524045,1,1,1
3fd3e6246.jpg,q20,56031,29.587552268651613,1,1,1
3fe82fd2e.jpg,original,224882,inf,1,1,1
3fe82fd2e.jpg,q60,88625,36.64907255246018,1,1,1
3fe82fd2e.jpg,q40,71884,34.53191387202382,1,1,1
3fe82fd2e.jpg,q30,63043,33.344176025393615,1,1,1
3fe82fd2e.jpg,q20,49495,31.089449934991904,1,1,1
4021b56d6.jpg,original,193964,inf,0,0,0
4021b56d6.jpg,q60,73506,37.957727092848195,0,0,0
