image,size_px,straddles,found_whole,found_grid,found_sahi,found_edge,slices_whole,slices_grid,slices_sahi,slices_edge
d90fea18e.jpg,74.999808,False,True,True,True,True,1.0,4.0,9.0,8.0
dc1cec72f.jpg,86.999808,False,True,True,True,True,1.0,4.0,9.0,4.0
dcecb5848.jpg,24.999935999999998,False,False,False,False,False,1.0,4.0,9.0,4.0
dd5aefa8e.jpg,28.99968,False,True,True,True,True,,,,
dd5aefa8e.jpg,33.000192,False,True,True,True,True,,,,
dd5aefa8e.jpg,28.99968,False,True,True,True,True,1.0,4.0,9.0,8.0
dea844684.jpg,23.000064,False,True,False,True,False,1.0,4.0,9.0,6.0
deb7cf470.jpg,14.999808,False,True,False,False,False,1.0,4.0,9.0,6.0
dfd14645c.jpg,8.000256,False,False,False,False,False,1.0,4.0,9.0,6.0
e0adf0993.jpg,85.999872,False,True,True,True,True,1.0,4.0,9.0,6.0
e0d71d52d.jpg,76.99968,True,True,True,True,True,1.0,4.0,9.0,6.0
e28a77c4e.jpg,23.000064,False,True,False,False,False,1.0,4.0,9.0,6.0
e37b55da1.jpg,42.000384,False,True,True,True,True,1.0,4.0,9.0,6.0
e3c71ea14.jpg,177.000192,True,True,True,True,True,1.0,4.0,9.0,6.0
e4b51fe24.jpg,75.999744,False,True,True,True,True,1.0,4.0,9.0,4.0
e7e49cac5.jpg,282.000384,True,True,False,False,False,1.0,4.0,9.0,8.0
e93929a2a.jpg,73.999872,False,True,True,True,True,,,,
e93929a2a.jpg,37.999872,False,True,True,True,True,1.0,4.0,9.0,6.0
ea2b77c43.jpg,4.99968,False,False,True,True,True,1.0,4.0,9.0,4.0
ea81c8a23.jpg,21.000192,False,True,True,True,True,1.0,4.0,9.0,4.0
ec170c50b.jpg,4.99968,False,False,False,False,False,,,,
ec170c50b.jpg,4.99968,False,False,False,False,False,,,,
ec170c50b.jpg,4.99968,False,False,False,False,False,,,,
ec170c50b.jpg,5.9996160000000005,False,False,True,True,True,,,,
ec170c50b.jpg,7.00032,False,False,False,False,False,,,,
ec170c50b.jpg,4.99968,False,False,True,True,True,,,,
ec170c50b.jpg,8.000256,False,False,False,False,False,,,,
ec170c50b.jpg,9.000192,False,False,False,False,True,1.0,4.0,9.0,8.0
ecd914a2b.jpg,46.000128,False,True,True,True,True,1.0,4.0,9.0,4.0
ed251c7a8.jpg,11.000064,False,False,True,True,True,1.0,4.0,9.0,4.0
ed56586cf.jpg,21.000192,False,True,True,True,True,1.0,4.0,9.0,4.0
edb53d816.jpg,47.000064,False,True,True,True,True,,,,
edb53d816.jpg,47.000064,False,True,True,True,True,1.0,4.0,9.0,4.0
ef1fa61c0.jpg,85.999872,False,True,True,True,True,,,,
ef1fa61c0.jpg,44.000256,False,True,True,True,True,,,,
ef1fa61c0.jpg,191.000064,True,True,True,True,True,1.0,4.0,9.0,8.0
eff2250b5.jpg,116.00025600000001,True,True,True,True,True,1.0,4.0,9.0,8.0
f0a108e91.jpg,37.999872,False,True,True,True,True,,,,
f0a108e91.jpg,13.999872,False,True,False,False,False,1.0,4.0,9.0,6.0
f1b306c90.jpg,204.99993600000002,False,True,True,True,True,1.0,4.0,9.0,4.0
f42a7d560.jpg,71.00006400000001,False,True,True,True,True,1.0,4.0,9.0,6.0
f63de9cd1.jpg,105.000192,False,True,True,True,True,1.0,4.0,9.0,4.0
f6a08f68c.jpg,49.999871999999996,False,True,False,True,False,1.0,4.0,9.0,4.0
f6e1b1630.jpg,18.000384,False,False,False,False,False,,,,
f6e1b1630.jpg,24.0,False,True,True,True,True,1.0,4.0,9.0,6.0
f721c8317.jpg,76.99968,True,True,True,True,True,1.0,4.0,9.0,6.0
f8213373d.jpg,81.000192,False,True,True,True,True,1.0,4.0,9.0,4.0
f92a0584e.jpg,117.000192,False,True,True,True,True,1.0,4.0,9.0,4.0
fa1633dcc.jpg,219.999744,False,True,True,True,True,,,,
fa1633dcc.jpg,12.999936000000002,False,True,True,True,True,1.0,4.0,9.0,6.0
fa36defc8.jpg,12.0,False,False,False,False,False,1.0,4.0,9.0,4.0
fadc3eb1b.jpg,33.000192,False,True,False,True,False,1.0,4.0,9.0,8.0
fb385591a.jpg,18.000384,False,True,False,False,False,1.0,4.0,9.0,4.0
fbb6f5df0.jpg,16.999679999999998,False,True,True,True,True,,,,
fbb6f5df0.jpg,74.999808,False,True,True,True,True,,,,
fbb6f5df0.jpg,149.999616,False,True,True,True,True,,,,
fbb6f5df0.jpg,151.00032000000002,True,True,True,True,True,1.0,4.0,9.0,6.0
ffa9569bf.jpg,21.000192,False,False,False,False,False,,,,
